concept_code,trade_date,open,high,low,close,volume,amount
308614,2026-07-06,1207.557,1246.317,1203.04,1222.832,1080036410,17900328000.0
309121,2026-07-06,2665.025,2681.507,2562.824,2615.264,8072300800,186434040000.0
309120,2026-07-06,2343.395,2346.448,2242.049,2283.241,2112350800,124575435000.0
309126,2026-07-06,1101.496,1110.39,1082.713,1085.044,1782967300,26874036000.0
301558,2026-07-06,1874.089,1882.815,1837.057,1842.487,9616741600,268665230000.0
300800,2026-07-06,4927.85,4932.148,4763.186,4806.956,3369967900,86944515000.0
301496,2026-07-06,5813.428,5850.071,5781.014,5799.643,761742210,17356109000.0
309084,2026-07-06,1378.182,1387.535,1316.758,1323.419,1896882800,44480773000.0
301259,2026-07-06,1850.876,1858.178,1807.278,1812.269,6979820400,146858310000.0
305376,2026-07-06,1971.137,2015.707,1971.137,1981.666,578916960,12259092000.0
307550,2026-07-06,1274.014,1282.574,1261.984,1262.524,1332658810,11716919800.0
308972,2026-07-06,2114.662,2124.649,2057.911,2066.649,21037611000,568737630000.0
300018,2026-07-06,1334.667,1340.684,1321.895,1325.908,2994195900,24974536000.0
306912,2026-07-06,2556.129,2580.8,2497.951,2501.232,9170669400,287436860000.0
300100,2026-07-06,1403.07,1407.684,1388.341,1393.589,2850582300,35433381000.0
300157,2026-07-06,1381.903,1415.581,1379.252,1387.553,396376700,5305767800.0
301270,2026-07-06,1423.315,1428.676,1411.598,1414.415,7801253200,75276315000.0
309094,2026-07-06,1627.417,1640.05,1601.48,1602.663,8689543800,166707460000.0
308432,2026-07-06,2031.982,2042.758,1992.707,1994.313,3179311700,90755593000.0
308969,2026-07-06,1582.979,1591.144,1565.067,1571.217,4121773900,31592771000.0
309056,2026-07-06,2744.724,2756.067,2645.575,2653.534,1822855000,47722208000.0
300926,2026-07-06,3739.764,3752.6,3602.547,3607.09,1853528900,70344073000.0
306750,2026-07-06,1400.559,1411.679,1394.712,1406.469,2758546600,42058649000.0
300163,2026-07-06,1155.558,1156.951,1124.302,1133.605,6842388600,157627010000.0
309045,2026-07-06,1904.085,1921.135,1851.907,1855.875,1045924840,20802573000.0
300786,2026-07-06,6545.073,6574.933,6408.451,6425.652,13984185000,262732620000.0
308588,2026-07-06,1362.194,1377.176,1359.412,1363.637,1473010800,27326149000.0
308822,2026-07-06,757.289,787.371,755.643,768.16,1061305760,25359331000.0
308753,2026-07-06,1605.109,1617.239,1585.57,1590.051,3570022800,47103291000.0
301016,2026-07-06,1788.522,1789.686,1723.579,1742.34,10481054400,276227210000.0
300168,2026-07-06,3450.607,3466.437,3393.839,3403.643,14539329000,310201540000.0
308014,2026-07-06,1249.012,1296.682,1243.808,1269.185,6563636100,147811100000.0
306380,2026-07-06,2619.629,2633.066,2564.524,2568.621,30355623000,634337380000.0
307940,2026-07-06,3374.865,3383.202,3188.611,3283.007,7706922600,600056740000.0
301123,2026-07-06,1464.593,1491.36,1463.036,1482.422,427482360,2794854300.0
300013,2026-07-06,4006.577,4025.815,3877.683,3888.768,4425849600,102758272000.0
308696,2026-07-06,903.386,909.249,895.398,898.836,480849630,6724644600.0
307816,2026-07-06,3764.374,3789.456,3573.335,3697.239,2308075100,227341970000.0
300733,2026-07-06,2106.53,2119.786,2054.369,2055.847,18684910000,544988220000.0
302027,2026-07-06,461.581,465.667,454.67,454.845,1472678900,16455463000.0
308869,2026-07-06,1206.986,1216.299,1175.719,1180.361,468165240,6935879900.0
309115,2026-07-06,2188.954,2192.976,2126.517,2131.778,13210799900,316496410000.0
308700,2026-07-06,3146.907,3168.698,3004.567,3057.067,6910450300,315109640000.0
301623,2026-07-06,1245.093,1255.026,1231.325,1241.121,2170108100,15522310000.0
308477,2026-07-06,2019.748,2032.611,1969.81,1972.568,1395364700,26508842000.0
307822,2026-07-06,908.04,916.981,892.661,893.514,3267336100,86577843000.0
308828,2026-07-06,2305.671,2308.355,2235.059,2254.516,14125419000,401213150000.0
308537,2026-07-06,1422.606,1444.949,1419.55,1436.967,732795110,5665524200.0
308366,2026-07-06,1633.245,1641.4,1598.79,1604.033,6853008900,180241650000.0
309093,2026-07-06,1195.999,1209.495,1173.444,1173.947,3341003100,37497754000.0
308002,2026-07-06,1907.957,1915.585,1870.334,1871.145,4096042900,78207316000.0
309104,2026-07-06,1257.807,1264.68,1227.854,1229.026,3963724900,72307602000.0
301135,2026-07-06,1431.179,1438.652,1375.752,1390.706,5191591400,49225351000.0
308803,2026-07-06,1593.197,1595.041,1550.016,1565.357,468153820,32835442000.0
309058,2026-07-06,1291.639,1304.157,1265.263,1271.945,588774100,10221567400.0
300891,2026-07-06,2154.673,2178.554,2141.941,2143.488,3393063100,36811062000.0
308555,2026-07-06,1666.292,1666.292,1626.335,1641.801,1205107310,13489490000.0
308850,2026-07-06,1414.396,1424.667,1395.644,1395.916,3137664400,48178041000.0
308977,2026-07-06,4648.568,4657.832,4430.141,4567.866,1382755200,105189444000.0
308572,2026-07-06,1581.057,1635.57,1573.296,1604.374,4110866200,62120467000.0
301174,2026-07-06,1432.775,1447.678,1415.384,1418.393,1801477500,13942720000.0
309113,2026-07-06,1944.554,1950.908,1896.854,1897.381,3084160400,78438162000.0
300200,2026-07-06,1339.73,1346.588,1311.603,1312.445,16348805000,298774860000.0
308438,2026-07-06,2099.77,2160.196,2079.679,2156.305,90689794,1768620000.0
300085,2026-07-06,6317.153,6337.214,6117.742,6119.721,3548827300,110194168000.0
301236,2026-07-06,1574.147,1581.026,1544.281,1548.132,3860490000,68118604000.0
307954,2026-07-06,4230.305,4268.392,4057.517,4104.18,3436260700,139433330000.0
308708,2026-07-06,1231.934,1255.799,1225.688,1236.801,1777272600,37761783000.0
308991,2026-07-06,1276.027,1283.633,1223.657,1226.67,6551237000,106185894000.0
308915,2026-07-06,1070.454,1101.786,1066.088,1083.949,2864149400,43873026000.0
300890,2026-07-06,3537.353,3549.078,3441.196,3448.743,9854707500,253965820000.0
309124,2026-07-06,1420.769,1439.494,1415.927,1437.688,9864589600,108311960000.0
301518,2026-07-06,3719.519,3737.832,3641.248,3647.47,4196539100,72615963000.0
308806,2026-07-06,2065.46,2083.302,2019.981,2025.304,2557743900,99438148000.0
309023,2026-07-06,1078.265,1085.207,1060.169,1076.873,204986350,2830906700.0
309049,2026-07-06,6930.365,6942.72,6540.495,6666.021,12159866800,569230210000.0
308732,2026-07-06,1504.571,1511.935,1480.71,1480.995,3711121500,66911781000.0
301477,2026-07-06,1405.424,1419.87,1398.575,1400.54,729068780,8896440500.0
301780,2026-07-06,2755.713,2765.019,2691.112,2701.009,17674349000,352362750000.0
300941,2026-07-06,2222.204,2222.772,2135.637,2144.034,3046971300,101204184000.0
302154,2026-07-06,1112.997,1121.183,1094.415,1096.209,11494659200,218832010000.0
301630,2026-07-06,1254.251,1271.513,1238.876,1242.01,695977120,6554398400.0
301079,2026-07-06,4730.435,4743.914,4581.393,4596.473,22775633000,560467240000.0
309085,2026-07-06,3226.967,3242.61,3069.6,3114.298,785012550,61591422000.0
308582,2026-07-06,6125.504,6167.474,5845.293,5951.229,1785628800,84429128000.0
300223,2026-07-06,997.599,1002.833,979.743,980.441,1570307600,12181069900.0
300221,2026-07-06,2180.811,2196.135,2153.804,2154.369,3810072800,38897546000.0
308829,2026-07-06,1228.798,1238.699,1191.79,1192.025,4447371400,64051919000.0
308531,2026-07-06,1692.706,1694.306,1645.386,1669.952,2126763200,72267473000.0
300082,2026-07-06,2533.013,2541.583,2451.65,2458.226,16569809000,416718940000.0
309034,2026-07-06,1379.435,1386.125,1365.838,1368.158,51019065000,774299100000.0
308874,2026-07-06,1386.296,1390.492,1366.437,1380.216,1850305600,40166214000.0
308294,2026-07-06,1627.041,1640.222,1582.013,1583.046,8843297200,287427740000.0
302174,2026-07-06,2852.375,2912.269,2800.97,2804.022,2605073700,58338207000.0
302166,2026-07-06,1033.08,1041.178,1013.053,1014.391,140589930,1321172350.0
301669,2026-07-06,1022.351,1033.425,1014.879,1017.883,278259310,2177257800.0
300105,2026-07-06,3755.703,3774.255,3657.923,3659.577,8039550000,194195710000.0
308428,2026-07-06,1474.582,1499.536,1458.895,1459.375,1728472400,20016322000.0
300066,2026-07-06,1904.956,1910.578,1858.756,1865.276,8886544900,231711430000.0
301470,2026-07-06,3583.872,3607.298,3456.936,3458.198,2720100500,69377382000.0
300236,2026-07-06,2089.007,2114.286,2038.644,2044.517,1318399930,35385256000.0
300973,2026-07-06,1601.734,1617.967,1596.382,1603.889,2593420000,26427839000.0
309051,2026-07-06,2253.891,2257.243,2171.834,2193.846,3665323700,152708600000.0
309129,2026-07-06,1515.09,1535.623,1511.369,1519.746,3488001000,65309094000.0
300238,2026-07-06,4237.988,4262.172,4146.088,4149.658,11578407300,221992200000.0
308547,2026-07-06,1672.886,1684.65,1654.166,1656.753,1064876050,7317848200.0
300087,2026-07-06,1845.741,1859.839,1816.049,1816.917,1056563550,11788601900.0
301424,2026-07-06,1671.02,1678.341,1627.321,1628.58,1312072850,25849123000.0
301209,2026-07-06,5603.581,5631.946,5502.987,5511.982,5011391400,68131941000.0
308731,2026-07-06,1711.095,1717.926,1673.425,1682.406,4695510700,92616244000.0
308941,2026-07-06,854.652,874.571,852.79,859.816,1520009800,24601605000.0
301104,2026-07-06,947.344,969.541,944.787,952.605,2295004500,32212744000.0
308775,2026-07-06,1564.66,1574.878,1531.704,1531.704,1946549700,45684944000.0
300248,2026-07-06,3649.673,3753.48,3599.675,3602.344,5961531500,89227969000.0
308202,2026-07-06,1636.0,1666.13,1624.864,1627.124,1087448940,17770462000.0
301459,2026-07-06,3627.349,3634.734,3525.441,3545.468,33031109000,849930110000.0
308527,2026-07-06,4542.407,4558.525,4374.149,4468.454,1678667400,67642891000.0
308883,2026-07-06,1305.555,1306.576,1267.897,1273.989,3400485800,80280934000.0
308887,2026-07-06,1385.165,1390.945,1347.484,1354.711,994734210,22378231000.0
308507,2026-07-06,3078.306,3094.359,3014.098,3014.674,4579551300,123783523000.0
309090,2026-07-06,1553.46,1555.143,1505.057,1518.271,1832492800,45044252000.0
301490,2026-07-06,2449.178,2455.382,2418.184,2426.324,52255582000,1326698670000.0
301628,2026-07-06,905.901,912.127,889.917,893.21,965144730,23397650000.0
309081,2026-07-06,1363.946,1421.28,1356.931,1394.066,1624515100,50098411000.0
309000,2026-07-06,2097.308,2103.747,2033.835,2034.438,3943147800,102006547000.0
300261,2026-07-06,1380.918,1391.162,1354.531,1356.18,2158380600,19351856000.0
308885,2026-07-06,1134.859,1138.515,1116.989,1118.589,675783890,11756771600.0
300814,2026-07-06,4199.614,4208.186,4101.274,4113.076,3479225000,119146230000.0
300061,2026-07-06,1909.487,1920.309,1883.396,1885.003,7858893600,124602648000.0
301032,2026-07-06,1127.666,1135.76,1113.051,1114.138,1264380990,22304852000.0
301107,2026-07-06,1224.538,1239.502,1196.483,1197.541,4561423300,75552377000.0
308864,2026-07-06,1865.612,1932.574,1832.206,1833.798,3766447400,57730616000.0
301582,2026-07-06,2102.593,2178.755,2067.216,2068.589,3785828800,53060568000.0
300816,2026-07-06,4195.006,4204.298,4083.617,4097.448,33363580000,890562090000.0
301258,2026-07-06,2104.84,2105.332,2024.758,2037.93,5207398500,175267410000.0
301146,2026-07-06,1968.52,1993.763,1960.956,1963.578,1511077800,31003904000.0
309128,2026-07-06,1742.112,1748.473,1675.041,1680.136,2268913500,48437295000.0
301786,2026-07-06,1653.793,1663.675,1603.651,1607.631,6919954000,133040014000.0
300269,2026-07-06,2808.423,2848.47,2805.383,2822.711,286247750,3818200400.0
308699,2026-07-06,867.437,868.744,824.975,841.237,199108200,26230563000.0
301117,2026-07-06,1547.133,1563.764,1528.901,1529.542,1571007200,26812633000.0
309108,2026-07-06,2520.981,2529.764,2447.027,2459.441,4772228400,118568370000.0
300277,2026-07-06,1453.013,1464.498,1436.334,1449.06,566725990,3671163500.0
309066,2026-07-06,1312.749,1314.692,1262.2,1264.778,1000822350,23784980000.0
309007,2026-07-06,1533.186,1552.408,1526.3,1528.451,1776514500,35852342000.0
308659,2026-07-06,1808.276,1823.025,1760.974,1760.974,2056321500,28374218000.0
301564,2026-07-06,919.775,927.569,908.893,910.578,4477182800,58615246000.0
308566,2026-07-06,1776.099,1795.352,1763.378,1764.646,2427840700,21946573000.0
301179,2026-07-06,1720.942,1736.058,1716.738,1720.185,3690426000,44331150000.0
301248,2026-07-06,1656.048,1670.12,1632.659,1633.432,1196601320,26397985000.0
308956,2026-07-06,743.66,753.694,742.302,746.686,868236950,4868456000.0
300830,2026-07-06,2538.487,2544.313,2453.484,2475.965,3147210400,128630987000.0
300098,2026-07-06,3262.563,3327.847,3226.254,3227.981,2391413000,60375166000.0
300038,2026-07-06,1368.937,1404.816,1364.483,1383.611,3648624200,51466902000.0
308926,2026-07-06,1592.7,1615.296,1577.794,1578.943,649960190,7373404300.0
308760,2026-07-06,1156.968,1161.598,1140.696,1142.2,17868076000,233563080000.0
300923,2026-07-06,1511.619,1531.224,1509.248,1514.523,1315268480,10632666600.0
301223,2026-07-06,2565.621,2591.227,2539.226,2541.096,3826642200,35019665000.0
308893,2026-07-06,1058.861,1074.625,1054.674,1058.385,430698810,7007472100.0
302150,2026-07-06,1483.758,1490.068,1455.656,1464.78,1729431500,30747192000.0
300084,2026-07-06,2310.392,2346.001,2305.138,2322.926,4961303800,63051035000.0
308716,2026-07-06,2156.235,2179.599,2147.369,2170.496,4294540600,41545610000.0
308657,2026-07-06,867.098,875.112,862.543,863.909,714018640,6279516400.0
308834,2026-07-06,1678.599,1681.997,1648.23,1660.235,688102480,9074578800.0
308628,2026-07-06,3257.868,3272.327,3092.0,3135.062,9400714800,208248240000.0
301346,2026-07-06,1401.118,1422.417,1397.697,1407.273,6191355200,49572623000.0
301096,2026-07-06,1384.024,1401.511,1354.66,1355.54,4392584000,125683989000.0
308535,2026-07-06,1581.235,1592.794,1559.961,1570.162,2021926600,33383486000.0
308748,2026-07-06,1532.189,1551.593,1515.678,1515.739,2149141600,20973285000.0
301511,2026-07-06,1316.087,1345.277,1290.848,1292.21,2979652800,42006148000.0
301632,2026-07-06,1612.535,1630.565,1609.081,1613.911,1047137390,5566547400.0
301306,2026-07-06,1287.454,1298.159,1268.657,1269.495,1823803900,46176563000.0
308016,2026-07-06,2198.275,2227.105,2197.648,2208.32,1738401700,12174874900.0
301154,2026-07-06,3739.939,3753.461,3552.714,3610.343,12197816500,297126310000.0
308832,2026-07-06,3157.053,3181.892,2987.951,3025.593,9595056400,353563790000.0
309105,2026-07-06,2250.803,2252.603,2172.287,2172.287,1328360930,50237415000.0
308774,2026-07-06,2878.174,2994.349,2861.657,2906.724,816497990,23713918000.0
309030,2026-07-06,2485.567,2507.333,2345.926,2363.836,2142729700,73637578000.0
301497,2026-07-06,1423.903,1431.98,1412.585,1414.053,534318730,5665407700.0
308709,2026-07-06,1564.22,1580.175,1531.943,1532.16,732991260,12088268500.0
300309,2026-07-06,6774.354,6789.716,6488.237,6550.36,8866657200,227607920000.0
300134,2026-07-06,1835.482,1844.546,1777.281,1779.169,579565210,11005243500.0
309040,2026-07-06,898.1,908.075,886.47,890.951,737790970,15033084000.0
301624,2026-07-06,880.058,887.188,871.169,874.082,5794112900,41013442000.0
308694,2026-07-06,1611.931,1619.077,1584.108,1588.003,1173414090,12525319600.0
301471,2026-07-06,6276.058,6283.084,6037.585,6117.397,11999821200,537396820000.0
308805,2026-07-06,2216.961,2232.438,2174.238,2175.166,2615326500,86801836000.0
308725,2026-07-06,1610.512,1617.262,1535.7,1582.403,5060583700,298787380000.0
300220,2026-07-06,1807.554,1810.492,1780.908,1790.615,4479215500,53249753000.0
301794,2026-07-06,1872.502,1941.969,1863.528,1930.053,266478510,5023408200.0
308491,2026-07-06,2762.543,2780.322,2719.841,2721.346,12668360000,250524080000.0
300075,2026-07-06,2053.902,2091.211,2048.175,2073.976,490817810,6620741900.0
302045,2026-07-06,1419.613,1426.674,1390.974,1392.65,7479558500,132175947000.0
301292,2026-07-06,1538.34,1552.38,1513.08,1520.899,634510650,10810025700.0
300316,2026-07-06,2128.582,2148.653,2099.534,2113.099,4913552300,113949614000.0
302035,2026-07-06,1298.161,1304.805,1272.528,1280.694,18971569000,406962140000.0
309119,2026-07-06,2736.761,2743.54,2650.217,2658.358,13121247000,490535510000.0
