code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600193,2026-06-26,0.15,0.16,0.14,0.16,20868800,3155033.67,4.906,-2.651146
sh.600228,2026-06-26,10.79,10.79,10.79,10.79,594435,6413953.65,0.1429,-70.948602
sh.600241,2026-06-26,6.62,6.77,6.46,6.54,5715900,37606052.0,1.9422,-13.051528
sh.600246,2026-06-26,19.68,20.6,19.37,19.97,175118110,3507285022.81,9.2635,-53.01959
sh.600248,2026-06-26,2.8,2.81,2.69,2.7,20790793,57076963.29,0.561,-738.400884
sh.600249,2026-06-26,4.61,4.65,4.52,4.52,8177000,37470408.0,1.4867,-174.317072
sh.600250,2026-06-26,7.95,7.96,7.77,7.78,7108600,55771252.0,2.2726,244.743706
sh.600251,2026-06-26,8.7,8.78,8.52,8.61,11703131,101191244.7,1.5062,14.716265
sh.600252,2026-06-26,1.82,1.83,1.76,1.77,49684616,88962335.64,1.5604,-13.812099
sh.600255,2026-06-26,4.02,4.03,3.68,3.69,199012457,755731412.09,11.0186,173.474916
sh.600256,2026-06-26,4.9,4.9,4.67,4.72,109919940,522834844.39,1.7196,33.958563
sh.600257,2026-06-26,4.51,4.51,4.34,4.42,11440625,50402267.8,2.3773,382.038916
sh.600258,2026-06-26,11.33,11.42,10.85,10.96,25806764,285836151.28,2.3112,14.611513
sh.600259,2026-06-26,103.42,104.71,99.01,99.52,18107267,1831366557.01,5.3821,133.292381
sh.600261,2026-06-26,3.19,3.19,3.1,3.11,11696500,36733028.0,0.8761,30.525366
sh.600262,2026-06-26,20.44,20.44,19.7,19.78,3667400,73090119.0,2.1573,14.796606
sh.600266,2026-06-26,4.05,4.05,3.91,3.91,27937214,110821175.49,1.3459,-27.761157
sh.600267,2026-06-26,10.4,10.58,9.88,9.93,22813300,230748405.0,1.9329,16.691225
sh.600268,2026-06-26,12.05,12.24,11.67,11.71,14701462,174568512.42,1.4477,24.161155
sh.600269,2026-06-26,4.06,4.08,3.98,3.98,10683228,42981123.56,0.4574,8.251227
sh.600271,2026-06-26,6.7,6.73,6.5,6.52,19080763,125651342.65,1.0298,-17.430364
sh.600272,2026-06-26,10.33,10.42,10.04,10.14,2482900,25206596.0,1.5518,115.760067
sh.600273,2026-06-26,6.8,6.82,6.62,6.63,17805486,119185544.32,1.3578,10.661135
sh.600276,2026-06-26,50.46,50.73,48.62,48.67,74961679,3706726924.91,1.1751,39.785919
sh.600278,2026-06-26,6.25,6.38,5.98,5.98,8582792,53087881.57,0.9974,28.197686
sh.600279,2026-06-26,3.76,3.76,3.65,3.71,10431450,38652316.0,0.8789,75.344648
sh.600280,2026-06-26,2.66,2.71,2.61,2.61,36857700,97107852.0,3.2666,-7.328812
sh.600281,2026-06-26,4.3,4.35,4.15,4.25,12249000,51770664.0,2.3812,-20.834579
sh.600282,2026-06-26,4.72,4.73,4.61,4.63,27493941,128074217.56,0.446,9.890273
sh.600283,2026-06-26,7.95,8.0,7.91,7.95,2505872,19921295.12,0.4468,22.288558
sh.600284,2026-06-26,5.13,5.13,4.8,4.8,20968900,102525003.0,2.1612,16.526596
sh.600285,2026-06-26,19.33,19.48,19.03,19.37,6436150,123777786.1,1.1361,13.922384
sh.600287,2026-06-26,4.47,4.54,4.36,4.45,4227800,18792411.0,0.9679,85.103842
sh.600288,2026-06-26,12.71,12.95,12.4,12.59,8113649,102330565.65,1.8575,33.625342
sh.600292,2026-06-26,13.63,13.66,12.87,12.88,17388331,228176100.39,3.9583,72.462265
sh.600293,2026-06-26,3.05,3.16,2.97,2.98,89635285,272330215.96,7.7262,-52.565162
sh.600295,2026-06-26,10.81,11.02,10.5,10.53,23667468,252091815.6,1.198,11.515647
sh.600298,2026-06-26,36.22,36.27,35.0,35.18,9971887,353338709.18,1.1634,19.079176
sh.600299,2026-06-26,8.98,9.12,8.73,8.83,12096205,107334827.3,0.451,27.324141
sh.600300,2026-06-26,2.89,2.89,2.81,2.81,22356900,63459160.0,1.3825,13.065715
sh.600301,2026-06-26,60.83,61.69,57.65,59.24,20668800,1235412722.56,7.5068,45.19065
sh.600303,2026-06-26,2.58,2.58,2.47,2.48,23756400,59624296.0,3.5064,-4.905645
sh.600305,2026-06-26,6.63,6.64,6.48,6.51,6565899,42846320.77,0.5953,46.766518
sh.600307,2026-06-26,1.45,1.45,1.41,1.41,43916500,62438130.0,0.7012,-5.087803
sh.600308,2026-06-26,3.09,3.1,3.0,3.02,12239540,37259654.4,0.8069,-44.503287
sh.600309,2026-06-26,73.6,75.2,70.93,71.79,35201488,2557447882.01,1.1245,17.073558
sh.600310,2026-06-26,4.13,4.24,3.96,3.96,83824400,342309098.2,5.719,-157.585888
sh.600312,2026-06-26,18.27,18.46,17.32,17.34,22725400,401563022.0,1.6748,20.002851
