code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600000,2026-06-29,8.75,8.78,8.49,8.73,68098356,588719704.13,0.2045,5.782816
sh.600000,2026-06-30,8.69,8.7,8.49,8.61,68434092,586217640.47,0.2055,5.703327
sh.600004,2026-06-29,7.44,7.49,7.18,7.44,18210068,134110413.5,0.7694,14.307621
sh.600004,2026-06-30,7.4,7.44,7.2,7.26,16940840,123464628.83,0.7158,13.961468
sh.600006,2026-06-29,5.16,5.23,5.02,5.17,18626015,95835984.63,0.9313,-24.314245
sh.600006,2026-06-30,5.19,5.22,5.09,5.13,12823100,65978858.0,0.6412,-24.126127
sh.600007,2026-06-29,18.93,19.43,18.54,19.31,3808103,72743317.65,0.3781,16.258807
sh.600007,2026-06-30,19.24,19.42,18.7,18.98,2605514,49584865.74,0.2587,15.980951
sh.600008,2026-06-29,2.77,2.79,2.7,2.76,90637689,248565889.09,1.2347,11.240029
sh.600008,2026-06-30,2.75,2.75,2.68,2.72,76284724,206604687.44,1.0392,11.07713
sh.600009,2026-06-29,23.16,23.55,22.55,23.29,14803311,342473225.17,0.7234,26.637772
sh.600009,2026-06-30,23.23,23.32,22.9,23.1,9857709,227138916.34,0.4817,26.420461
sh.600010,2026-06-29,2.21,2.23,2.15,2.19,546436200,1199366687.23,1.7448,-738.918641
sh.600010,2026-06-30,2.19,2.23,2.16,2.23,559546568,1223454861.56,1.7866,-752.414871
sh.600011,2026-06-29,7.27,7.55,7.14,7.48,164571917,1212932960.16,1.4964,8.435025
sh.600011,2026-06-30,7.47,7.69,7.42,7.59,151636038,1139916837.59,1.3788,8.55907
sh.600012,2026-06-29,15.98,16.1,15.5,16.0,4268400,67702374.0,0.3662,14.676096
sh.600012,2026-06-30,15.84,16.18,15.58,15.76,3865950,60937210.5,0.3317,14.455955
sh.600015,2026-06-29,6.51,6.54,6.34,6.52,99866985,642292473.26,0.649,3.825591
sh.600015,2026-06-30,6.49,6.52,6.38,6.39,65439925,420851658.02,0.4253,3.749314
sh.600016,2026-06-29,3.29,3.3,3.22,3.29,238133623,776731978.09,0.6715,4.910317
sh.600016,2026-06-30,3.28,3.29,3.2,3.22,258994662,837027766.9,0.7303,4.805842
sh.600017,2026-06-29,2.53,2.55,2.47,2.55,26344600,66265591.0,0.8566,17.88411
sh.600017,2026-06-30,2.55,2.56,2.49,2.5,20842153,52387751.0,0.6776,17.533441
sh.600018,2026-06-29,4.72,4.84,4.64,4.83,57311322,272164867.05,0.2465,8.22844
sh.600018,2026-06-30,4.8,4.81,4.71,4.72,48194396,228072396.16,0.2073,8.041043
sh.600019,2026-06-29,5.39,5.61,5.3,5.54,112965881,619234817.64,0.5275,11.90527
sh.600019,2026-06-30,5.51,5.56,5.39,5.43,75366963,410746780.75,0.352,11.668884
sh.600020,2026-06-29,3.81,3.81,3.71,3.78,11235855,42231935.16,0.5,13.279171
sh.600020,2026-06-30,3.76,3.78,3.64,3.69,12782628,47099540.17,0.5688,12.963001
sh.600021,2026-06-29,14.99,15.18,14.46,14.76,52206005,770174147.81,1.85,16.623748
sh.600021,2026-06-30,14.67,15.12,14.44,15.07,39927310,590170763.71,1.4149,16.972892
sh.600022,2026-06-29,1.23,1.25,1.21,1.24,69465242,85707269.28,0.6493,-604.288258
sh.600022,2026-06-30,1.24,1.26,1.23,1.24,76368147,95045865.15,0.7138,-604.288258
sh.600023,2026-06-29,5.23,5.3,5.14,5.28,46287488,242352780.24,0.3452,9.566241
sh.600023,2026-06-30,5.23,5.29,5.18,5.26,41507350,217170080.78,0.3096,9.530005
sh.600025,2026-06-29,8.81,9.01,8.66,8.96,31298904,277974202.68,0.168,19.549272
sh.600025,2026-06-30,8.95,8.97,8.79,8.89,22220986,197121366.96,0.1193,19.396544
