日期,证券名称,证券代码,操作类型,成交价,成交量,发生金额,交易费用
2026-07-09,国瓷材料,300285,买入,78.990,1000,-78999.91,9.91
2026-07-09,国瓷材料,300285,买入,76.200,1000,-76209.55,9.55
2026-07-09,应流股份,603308,卖出,53.070,800,42429.34,26.66
2026-07-09,国瓷材料,300285,卖出,75.900,1200,91023.04,56.96
2026-07-09,大禹节水,300021,买入,4.170,16000,-66728.37,8.37
2026-07-09,国瓷材料,300285,买入,80.970,1000,-80980.14,10.14
2026-07-08,翰宇药业,300199,卖出,24.900,2500,62211.07,38.93
2026-07-08,广钢气体,688548,卖出,47.250,500,23607.95,17.05
2026-07-08,大禹节水,300021,卖出,4.310,11500,49533.99,31.01
2026-07-08,国瓷材料,300285,卖出,78.505,1900,149066.70,93.30
2026-07-08,广钢气体,688548,卖出,47.650,1500,71430.29,44.71
2026-07-08,国瓷材料,300285,买入,80.820,600,-48498.08,6.08
2026-07-08,国瓷材料,300285,买入,84.630,600,-50784.37,6.37
2026-07-08,应流股份,603308,买入,58.200,800,-46565.84,5.84
2026-07-07,国瓷材料,300285,卖出,86.980,500,43462.79,27.21
2026-07-07,广钢气体,688548,卖出,47.600,1000,47170.48,29.52
2026-07-07,翰宇药业,300199,买入,24.950,1000,-24955.25,5.25
2026-07-07,大禹节水,300021,买入,4.290,11500,-49341.18,6.18
2026-07-07,国瓷材料,300285,买入,87.900,500,-43955.51,5.51
2026-07-07,A500ETF华泰柏瑞,563360,卖出,1.362,120000,163423.66,16.34
2026-07-07,广钢气体,688548,买入,44.700,1000,-44705.60,5.60
2026-07-06,昭衍新药,603127,卖出,41.440,2800,115959.46,72.54
2026-07-06,国瓷材料,300285,买入,87.960,500,-43985.52,5.52
2026-07-06,南京商旅,600250,卖出,7.980,8000,63800.05,39.95
2026-07-06,翰宇药业,300199,买入,25.800,1500,-38705.39,5.39
2026-07-06,国瓷材料,300285,买入,95.320,700,-66732.58,8.38
2026-07-06,广钢气体,688548,买入,44.460,1000,-44465.57,5.57
2026-07-03,A500ETF华泰柏瑞,563360,买入,1.375,120000,-165016.50,16.50
2026-07-03,金凯生科,301509,卖出,30.270,4000,121004.28,75.72
2026-07-03,国瓷材料,300285,卖出,91.220,500,45581.49,28.51
2026-07-03,广钢气体,688548,买入,48.010,400,-19209.19,5.19
2026-07-03,广钢气体,688548,买入,47.110,600,-28271.28,5.28
2026-07-03,海南橡胶,601118,卖出,14.920,4600,68843.92,43.08
2026-07-03,国瓷材料,300285,卖出,91.300,300,27580.93,17.07
2026-07-03,南京商旅,600250,买入,8.060,8000,-64488.08,8.08
2026-07-03,国瓷材料,300285,买入,88.610,500,-44310.55,5.55
2026-07-02,国瓷材料,300285,卖出,92.770,400,37084.08,23.92
2026-07-02,昭衍新药,603127,买入,39.890,600,-23939.24,5.24
2026-07-02,国瓷材料,300285,买入,94.000,500,-47005.89,5.89
2026-07-01,金凯生科,301509,卖出,31.030,1000,31009.17,20.83
2026-07-01,昭衍新药,603127,买入,40.810,700,-28572.29,5.29
2026-07-01,金凯生科,301509,买入,30.940,500,-15475.15,5.15
