code,name,trade_date,open,high,low,close,volume,amount
sh510050,上证50ETF华夏,2021-11-01,3.284,3.304,3.268,3.289,736783701,2421255437.41
sh510050,上证50ETF华夏,2021-11-02,3.289,3.308,3.228,3.25,757041022,2474577840.66
sh510050,上证50ETF华夏,2021-11-03,3.25,3.259,3.212,3.219,459409889,1486190990.91
sh510050,上证50ETF华夏,2021-11-04,3.232,3.252,3.227,3.245,519586084,1682939326.08
sh510050,上证50ETF华夏,2021-11-05,3.238,3.267,3.228,3.243,446083316,1447094277.1
sh510050,上证50ETF华夏,2021-11-08,3.24,3.257,3.222,3.231,580408266,1879071761.17
sh510050,上证50ETF华夏,2021-11-09,3.246,3.255,3.211,3.224,488921429,1581171901.39
sh510050,上证50ETF华夏,2021-11-10,3.223,3.223,3.161,3.206,638780752,2046174443.84
sh510050,上证50ETF华夏,2021-11-11,3.2,3.277,3.2,3.275,566481920,1834268456.96
sh510050,上证50ETF华夏,2021-11-12,3.28,3.284,3.256,3.262,632386532,2068220152.91
sh510050,上证50ETF华夏,2021-11-15,3.268,3.285,3.25,3.264,521550952,1703776572.45
sh510050,上证50ETF华夏,2021-11-16,3.266,3.283,3.247,3.264,558113910,1822241916.15
sh510050,上证50ETF华夏,2021-11-17,3.256,3.267,3.238,3.244,680852230,2213620812.79
sh510050,上证50ETF华夏,2021-11-18,3.237,3.238,3.203,3.211,528235208,1702105898.98
sh510050,上证50ETF华夏,2021-11-19,3.207,3.26,3.205,3.25,628170573,2029305036.08
sh510050,上证50ETF华夏,2021-11-22,3.256,3.265,3.245,3.248,517612628,1684052685.2
sh510050,上证50ETF华夏,2021-11-23,3.243,3.273,3.24,3.261,716076454,2330291800.43
sh510050,上证50ETF华夏,2021-11-24,3.261,3.289,3.251,3.273,569230394,1860529542.79
sh510050,上证50ETF华夏,2021-11-25,3.277,3.279,3.25,3.254,364599800,1190418347.0
sh510050,上证50ETF华夏,2021-11-26,3.247,3.249,3.218,3.223,531486900,1718961506.33
sh510050,上证50ETF华夏,2021-11-29,3.175,3.187,3.16,3.182,519448946,1649769852.5
sh510050,上证50ETF华夏,2021-11-30,3.185,3.195,3.149,3.164,398169552,1263491530.88
sh510210,上证指数ETF富国,2021-11-01,0.989,0.998,0.985,0.994,54463400,54000461.1
sh510210,上证指数ETF富国,2021-11-02,0.994,0.997,0.975,0.982,71456300,70527368.1
sh510210,上证指数ETF富国,2021-11-03,0.981,0.983,0.976,0.98,36854400,36117312.0
sh510210,上证指数ETF富国,2021-11-04,0.982,0.987,0.979,0.986,47489700,46706119.95
sh510210,上证指数ETF富国,2021-11-05,0.983,0.986,0.977,0.977,43825200,42981564.9
sh510210,上证指数ETF富国,2021-11-08,0.976,0.979,0.973,0.977,23440100,22883397.62
sh510210,上证指数ETF富国,2021-11-09,0.977,0.982,0.974,0.98,23817900,23299860.67
sh510210,上证指数ETF富国,2021-11-10,0.979,0.98,0.964,0.978,67793300,66115415.82
sh510210,上证指数ETF富国,2021-11-11,0.975,0.987,0.972,0.986,61760500,60525290.0
sh510210,上证指数ETF富国,2021-11-12,0.986,0.99,0.984,0.988,34406200,33958919.4
sh510210,上证指数ETF富国,2021-11-15,0.99,0.993,0.984,0.989,23335500,23078809.5
sh510210,上证指数ETF富国,2021-11-16,0.989,0.991,0.98,0.982,27999300,27593310.15
