代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz159998,计算机ETF天弘,1.014,-0.051,-4.789,1.013,1.014,1.065,1.04,1.054,1.013,140997102,146430581
sz159997,电子ETF天弘,2.561,-0.218,-7.845,2.56,2.561,2.779,2.64,2.711,2.55,51431626,135024384
sz159996,家电ETF国泰,1.443,-0.012,-0.825,1.443,1.444,1.455,1.454,1.463,1.441,33955045,49355644
sz159995,芯片ETF华夏,3.019,-0.302,-9.094,3.018,3.019,3.321,3.125,3.208,2.996,749876247,2328065374
sz159994,通信ETF银华,1.497,-0.137,-8.384,1.497,1.498,1.634,1.571,1.579,1.489,285073977,436165008
sz159993,证券ETF鹏华,1.252,-0.031,-2.416,1.25,1.252,1.283,1.283,1.284,1.246,223531300,281094236
sz159992,创新药ETF银华,0.84,0.001,0.119,0.84,0.841,0.839,0.835,0.858,0.827,1800560996,1516637224
sz159991,创业板大盘ETF招商,0.954,-0.061,-6.01,0.949,0.954,1.015,0.995,0.995,0.945,11891199,11473748
sz159985,豆粕ETF华夏,2.066,0.069,3.455,2.065,2.066,1.997,2.008,2.069,2.007,276159183,563592904
sz159982,中证500ETF鹏华,2.317,-0.078,-3.257,2.317,2.327,2.395,2.377,2.39,2.304,8861000,20779906
sz159981,能源化工ETF建信,1.366,-0.02,-1.443,1.366,1.367,1.386,1.358,1.373,1.358,207332591,282841918
sz159980,有色ETF大成,2.032,0.002,0.099,2.032,2.033,2.03,2.039,2.043,2.028,155775776,317287346
sz159977,创业板ETF天弘,2.096,-0.126,-5.671,2.096,2.097,2.222,2.177,2.182,2.085,78854863,168093453
sz159976,湾创ETF工银,1.313,-0.026,-1.942,1.31,1.313,1.339,1.327,1.339,1.313,77200,102368
sz159975,深100ETF招商,0.826,-0.036,-4.176,0.826,0.834,0.862,0.854,0.854,0.825,7304700,6090501
sz159974,央企创新ETF富国,1.811,-0.034,-1.843,1.81,1.813,1.845,1.827,1.833,1.81,1200200,2186369
sz159973,民企ETF弘毅远方,2.072,-0.087,-4.03,2.064,2.075,2.159,2.127,2.127,2.069,388600,818300
sz159972,5年地方债ETF鹏华,119.275,0.079,0.066,119.271,119.275,119.196,119.197,119.284,119.191,4536100,541015391
sz159971,创业板ETF富国,1.409,-0.081,-5.436,1.409,1.41,1.49,1.46,1.463,1.398,74990200,106820172
sz159970,深100ETF工银,1.123,-0.047,-4.017,1.123,1.128,1.17,1.158,1.158,1.123,450100,511449
sz159968,中证500ETF博时,11.348,-0.384,-3.273,11.292,11.343,11.732,11.443,11.645,11.285,1637900,18784192
sz159967,创业板成长ETF华夏,0.963,-0.076,-7.315,0.963,0.964,1.039,1.014,1.014,0.956,1115618322,1097702767
sz159966,创业板价值ETF华夏,0.604,-0.025,-3.975,0.603,0.604,0.629,0.621,0.621,0.6,13411000,8197204
sz159965,央视50ETF国联,1.703,-0.04,-2.295,1.703,1.711,1.743,1.733,1.733,1.701,239500,411599
sz159964,创业板ETF平安,2.634,-0.156,-5.591,2.634,2.66,2.79,2.806,2.817,2.62,3942500,10609426
sz159961,深100ETF方正富邦,2.397,-0.098,-3.928,2.397,2.406,2.495,2.471,2.471,2.397,1021000,2486065
sz159960,恒生中国企业ETF平安,0.771,-0.002,-0.259,0.769,0.772,0.773,0.777,0.779,0.767,11484600,8871547
sz159959,央企ETF银华,1.666,-0.045,-2.63,1.666,1.667,1.711,1.711,1.711,1.662,221900,371613
sz159958,创业板ETF工银,2.434,-0.149,-5.768,2.433,2.434,2.583,2.553,2.553,2.424,4810100,11884439
sz159957,创业板ETF华夏,2.666,-0.144,-5.125,2.666,2.672,2.81,2.748,2.761,2.634,118586900,320042393
sz159956,创业板ETF建信,2.551,-0.16,-5.902,2.549,2.551,2.711,2.675,2.675,2.543,3501100,9162002
sz159954,恒生中国企业ETF南方,0.834,0.009,1.091,0.833,0.834,0.825,0.826,0.847,0.826,6822100,5716723
sz159952,创业板ETF广发,2.452,-0.143,-5.511,2.452,2.453,2.595,2.548,2.55,2.438,206906855,514823027
sz159949,创业板50ETF华安,1.912,-0.119,-5.859,1.912,1.913,2.031,2.0,2.0,1.902,1619391932,3139690763
sz159948,创业板ETF南方,4.462,-0.267,-5.646,4.462,4.465,4.729,4.682,4.682,4.433,24800200,112678358
sz159945,能源ETF广发,1.194,0.005,0.421,1.193,1.194,1.189,1.176,1.203,1.174,8231100,9802859
sz159944,材料ETF广发,1.538,-0.008,-0.517,1.534,1.538,1.546,1.546,1.577,1.517,4893000,7559504
sz159943,深证成指ETF大成,1.724,-0.046,-2.599,1.724,1.725,1.77,1.727,1.749,1.715,21337213,36852729
sz159941,纳指ETF广发,1.614,-0.038,-2.3,1.613,1.614,1.652,1.643,1.646,1.612,785166311,1280267887
sz159940,金融地产ETF广发,1.157,-0.007,-0.601,1.152,1.162,1.164,1.164,1.174,1.152,7326500,8492519
sz159939,信息技术ETF广发,1.336,-0.107,-7.415,1.335,1.336,1.443,1.38,1.4,1.327,58638600,80087012
sz159938,医药ETF广发,0.618,-0.003,-0.483,0.618,0.619,0.621,0.617,0.632,0.613,158629175,98494694
sz159937,黄金ETF博时,8.454,0.199,2.411,8.454,8.455,8.255,8.403,8.464,8.377,89307100,752026374
sz159936,可选消费ETF广发,1.9,0.001,0.053,1.899,1.91,1.899,1.903,1.929,1.9,638700,1222032
sz159935,中证500ETF景顺,2.73,-0.13,-4.545,2.73,2.745,2.86,2.831,2.831,2.727,823000,2280397
sz159934,黄金ETF易方达,8.851,0.209,2.418,8.851,8.852,8.642,8.796,8.861,8.77,90184728,794770078
sz159933,金融地产ETF国投瑞银,2.764,-0.001,-0.036,2.758,2.764,2.765,2.792,2.821,2.735,281200,773752
sz159931,金融地产ETF汇添富,1.78,-0.006,-0.336,1.77,1.78,1.786,1.787,1.803,1.773,100800,180018
sz159930,能源ETF汇添富,1.499,0.008,0.537,1.498,1.499,1.491,1.483,1.506,1.477,62033600,92837677
sz159929,医药ETF汇添富,1.266,-0.004,-0.315,1.266,1.267,1.27,1.26,1.291,1.257,106637554,135795405
sz159928,消费ETF汇添富,0.628,-0.002,-0.317,0.628,0.629,0.63,0.63,0.636,0.622,488339200,306656168
sz159925,沪深300ETF南方,4.901,-0.147,-2.912,4.899,4.901,5.048,4.971,5.027,4.883,20610782,101628634
sz159923,中证A100ETF大成,2.263,-0.072,-3.084,2.264,2.28,2.335,2.312,2.312,2.263,1296100,2962059
sz159922,中证500ETF嘉实,3.52,-0.134,-3.667,3.519,3.52,3.654,3.6,3.619,3.504,237452703,843934420
sz159920,恒生ETF华夏,1.36,0.009,0.666,1.36,1.361,1.351,1.359,1.381,1.357,308108789,421860206
sz159919,沪深300ETF嘉实,5.061,-0.154,-2.953,5.061,5.062,5.215,5.157,5.163,5.038,570152192,2913799409
sz159918,中创400ETF嘉实,2.854,-0.1,-3.385,2.854,2.862,2.954,2.924,2.94,2.854,459900,1338547
sz159916,基本面ETF建信,5.103,-0.013,-0.254,5.02,5.138,5.116,5.079,5.14,5.018,1883719,9608236
sz159915,创业板ETF易方达,4.036,-0.238,-5.569,4.036,4.037,4.274,4.207,4.207,4.016,1876485236,7700524824
sz159913,深价值ETF交银,2.5,0.049,1.999,2.45,2.499,2.451,2.426,2.5,2.425,197100,481233
sz159912,深300ETF汇添富,2.128,-0.09,-4.058,2.128,2.149,2.218,2.22,2.23,2.122,1006700,2165502
sz159910,基本面120ETF嘉实,2.37,-0.016,-0.671,2.362,2.385,2.386,2.362,2.389,2.362,161700,383773
sz159909,TMT50ETF招商,1.546,-0.122,-7.314,1.545,1.546,1.668,1.583,1.66,1.538,9867900,15519559
sz159908,创业板ETF博时,3.752,-0.225,-5.658,3.752,3.758,3.977,3.92,3.92,3.736,18379200,70307098
sz159907,国证2000ETF广发,1.168,-0.028,-2.341,1.168,1.17,1.196,1.188,1.201,1.168,10617600,12605010
sz159906,深成长ETF大成,2.081,-0.15,-6.723,2.081,2.09,2.231,2.128,2.17,2.063,9907500,20899090
sz159905,红利ETF工银,1.639,-0.014,-0.847,1.639,1.642,1.653,1.649,1.657,1.637,22039000,36317232
sz159903,深成ETF南方,1.907,-0.058,-2.952,1.906,1.907,1.965,1.932,1.944,1.887,29099889,55590034
sz159902,中小100ETF华夏,4.965,-0.184,-3.574,4.964,4.965,5.149,5.11,5.11,4.958,2559301,12833708
sz159901,深证100ETF易方达,3.922,-0.172,-4.201,3.922,3.925,4.094,4.058,4.067,3.92,116869700,465641870
sz159899,软件ETF招商,0.708,-0.015,-2.075,0.708,0.709,0.723,0.733,0.735,0.705,32117201,23143043
sz159898,医疗器械ETF招商,0.472,-0.004,-0.84,0.472,0.474,0.476,0.477,0.481,0.471,34387000,16364437
sz159896,物联网ETF南方,1.51,-0.087,-5.448,1.501,1.51,1.597,1.616,1.616,1.503,1790500,2760181
sz159895,物联网ETF易方达,1.624,-0.095,-5.526,1.623,1.627,1.719,1.669,1.691,1.62,1677500,2782888
