factor_id,factor_name,total_return_pct,max_drawdown_pct,win_rate_pct,trade_count,avg_profit_pct,profit_factor,final_equity,open_positions
alpha042_alpha161,Alpha042 + 低ATR偏好,85.69,7.99,74.71,87,3.87,5.78,1856950.0,4
alpha042_alpha084,Alpha042 + 20日OBV强度,97.53,8.2,70.73,82,4.58,5.46,1975335.4,2
alpha042_alpha106,Alpha042 + 20日动量差,53.35,8.34,70.37,81,2.91,5.32,1533515.2,4
alpha042_alpha040,Alpha042 + 上涨量下跌量比,88.15,7.61,70.37,81,4.21,4.98,1881475.0,1
alpha042_alpha127,Alpha042 + 12日高点回撤惩罚,54.49,6.39,73.08,78,2.9,4.56,1544948.4,3
alpha042_alpha066,Alpha042 + 6日乖离率,55.87,7.91,74.39,82,2.99,4.41,1558710.2,2
alpha042_alpha031,Alpha042 + 12日乖离率,49.82,5.47,72.84,81,2.76,4.25,1498243.4,2
alpha042_alpha188,Alpha042 + 振幅低于均值,60.35,7.33,64.41,59,4.36,4.1,1603538.7,1
alpha042_alpha088,Alpha042 + 20日动量,46.33,9.94,68.49,73,2.9,4.06,1463297.5,2
alpha042_alpha018,Alpha042 + 5日价格比,47.67,7.54,71.62,74,2.92,4.01,1476658.2,2
alpha042_alpha058,Alpha042 + 20日上涨占比,49.96,7.62,71.91,89,2.53,3.96,1499608.6,2
alpha042_alpha176,Alpha042 + 区间位置-成交量背离,82.65,8.04,63.73,102,3.2,3.86,1826496.8,2
alpha042_alpha062,Alpha042 + 高点-成交量短背离,81.17,11.55,67.71,96,3.39,3.65,1811657.3,2
alpha042_alpha177,Alpha042 + 接近20日高点,48.82,9.05,67.47,83,2.48,3.52,1488243.9,3
alpha042_alpha032,Alpha042 + 高点-成交量相关累计,82.48,13.13,65.31,98,3.36,3.49,1824846.5,2
alpha042_alpha053,Alpha042 + 12日上涨占比,51.86,7.97,68.48,92,2.43,3.47,1518573.8,3
alpha042_alpha083,Alpha042 + 高点-成交量协方差背离,85.12,14.44,63.37,101,3.3,3.36,1851239.7,1
alpha042_alpha071,Alpha042 + 24日乖离率,49.05,9.94,67.47,83,2.68,3.35,1490502.8,2
alpha042_alpha024,Alpha042 + 5日均线偏离,36.08,12.55,73.33,75,2.31,3.19,1360790.5,2
alpha042_alpha090,Alpha042 + VWAP-成交量背离,65.05,14.95,62.5,96,3.04,3.08,1650537.2,3
alpha042_alpha102,Alpha042 + 成交量RSI,31.98,9.5,65.22,69,2.09,2.9,1319782.6,0
alpha042_alpha043,Alpha042 + 6日OBV强度,36.97,8.04,63.38,71,2.29,2.84,1369727.0,1
alpha042_alpha141,Alpha042 + 高点-均量背离,41.11,8.41,70.93,86,2.08,2.8,1411146.5,1
alpha042_alpha020,Alpha042 + 6日价格比,26.78,8.59,67.61,71,1.96,2.61,1267806.5,2
alpha042_alpha134,Alpha042 + 12日量价动量,27.86,9.73,64.18,67,2.01,2.55,1278605.8,1
alpha042_alpha104,Alpha042 + 量价相关变化率,23.85,12.08,66.67,75,1.68,2.38,1238503.1,3
alpha042_alpha014,Alpha042 + 5日动量差,21.48,12.42,64.79,71,1.67,2.26,1214780.1,3
