factor_id,factor_name,total_return_pct,max_drawdown_pct,win_rate_pct,trade_count,avg_profit_pct,profit_factor,final_equity,open_positions
alpha161,低ATR偏好,95.6,15.77,57.02,228,1.62,2.27,1955994.92,5
alpha058,20日上涨占比,121.34,37.4,55.25,362,1.23,1.8,2213412.62,5
alpha141,高点-均量背离,99.53,32.54,56.44,427,0.94,1.55,1995298.02,5
alpha084,20日OBV强度,90.73,38.17,53.85,364,0.99,1.54,1907255.0,5
alpha062,高点-成交量短背离,105.07,36.1,55.86,435,1.03,1.47,2050730.87,5
alpha104,量价相关变化率,90.44,41.03,51.52,396,0.98,1.44,1904439.26,5
alpha066,6日乖离率,82.63,40.57,52.67,412,0.92,1.38,1826277.46,5
alpha176,区间位置-成交量背离,58.35,34.2,55.97,427,0.71,1.31,1583464.95,5
alpha032,高点-成交量相关累计,48.04,33.85,53.21,436,0.61,1.27,1480395.17,5
alpha053,12日上涨占比,50.47,29.95,51.59,409,0.56,1.23,1504699.67,5
alpha090,VWAP-成交量背离,38.94,39.78,51.49,437,0.55,1.22,1389419.97,5
alpha188,振幅低于均值,63.44,44.54,51.05,429,0.76,1.21,1634396.95,5
alpha177,接近20日高点,24.33,38.46,51.77,423,0.36,1.17,1243349.45,5
alpha083,高点-成交量协方差背离,28.81,34.25,51.52,427,0.46,1.16,1288129.53,5
alpha106,20日动量差,18.65,52.64,45.45,308,0.5,1.11,1186454.52,5
alpha018,5日价格比,19.19,46.76,47.34,414,0.39,1.09,1191862.45,5
alpha071,24日乖离率,18.82,53.63,45.98,361,0.55,1.08,1188210.46,5
alpha040,上涨量下跌量比,12.94,43.45,46.59,337,0.39,1.07,1129423.74,5
alpha014,5日动量差,12.8,42.23,47.74,398,0.33,1.07,1127981.69,5
alpha024,5日均线偏离,12.19,41.08,50.38,391,0.33,1.05,1121941.16,5
alpha020,6日价格比,9.85,47.99,48.69,421,0.3,1.04,1098476.05,5
alpha088,20日动量,5.89,58.58,45.65,333,0.28,1.03,1058852.58,5
alpha134,12日量价动量,3.74,45.13,44.18,335,0.24,1.02,1037396.83,5
alpha102,成交量RSI,-2.71,42.98,48.87,444,0.14,0.98,972886.04,5
alpha127,12日高点回撤惩罚,-3.19,37.52,50.23,428,0.05,0.98,968130.54,5
alpha031,12日乖离率,-14.84,42.32,47.85,418,-0.05,0.92,851637.03,5
alpha043,6日OBV强度,-19.02,38.03,50.46,436,-0.09,0.91,809774.7,5
