=== 年度汇总 ===
年份,笔数,胜率%,累计盈亏,平均%,最佳%,最差%
2022,15,60,"16,652",0.7%,9.2%,-17.6%
2023,33,64,"75,695",1.1%,25.1%,-10.1%
2024,37,57,"381,920",4.6%,154.0%,-13.1%
2025,40,82,"460,851",3.5%,15.7%,-2.4%
2026,30,60,"363,386",3.0%,32.5%,-6.6%

=== 交易明细 ===
买入日,卖出日,ETF名称,代码,买入价,卖出价,盈亏%,盈亏额,持天,买入原因,卖出原因
2022-08-08,2022-08-19,中证1000ETF华夏,sz159845,2.148,2.17,1.0%,"2,048",11,ETF Alpha(缩量新高 corr=-0.85 | 波动放大4.7x | 距20日高-0.1% | 5日183.4%),"量价同步(散户涌入 corr=0.52,盈1.0%)"
2022-08-12,2022-09-26,通信ETF华夏,sh515050,0.955,0.787,-17.6%,"-35,179",45,ETF Alpha(缩量新高 corr=-0.27 | 波动放大1.2x | 距20日高-1.3% | 5日0.4%),"量价同步(散户涌入 corr=0.57,盈-17.6%)"
2022-08-16,2022-08-19,半导体ETF鹏华,sz159813,0.802,0.797,-0.6%,"-1,246",3,ETF Alpha(缩量新高 corr=-0.30 | 波动放大1.2x | 距20日高-3.5% | 5日-2.8%),"量价同步(散户涌入 corr=0.60,盈-0.6%)"
2022-09-05,2022-10-27,中证1000ETF南方,sh512100,2.713,2.585,-4.7%,"-9,434",52,ETF Alpha(缩量新高 corr=-0.74 | 波动放大4.7x | 距20日高-0.7% | 5日165.7%),"量价同步(散户涌入 corr=0.52,盈-4.7%)"
2022-09-09,2022-11-14,黄金ETF博时,sz159937,3.783,3.915,3.5%,"6,983",66,ETF Alpha(缩量新高 corr=-0.25 | 波动放大1.3x | 距20日高-0.8% | 5日1.6%),持仓40天到期(盈3.5%)
2022-09-16,2022-09-28,上证指数ETF富国,sh510210,0.906,0.882,-2.6%,"-5,306",12,ETF Alpha(缩量新高 corr=-0.45 | 波动放大1.2x | 距20日高-4.9% | 5日-2.9%),"量价同步(散户涌入 corr=0.60,盈-2.6%)"
2022-09-16,2022-09-29,证券保险ETF易方达,sh512070,0.586,0.553,-5.6%,"-11,283",13,ETF Alpha(缩量新高 corr=-0.28 | 波动放大1.3x | 距20日高-6.7% | 5日-3.8%),"量价同步(散户涌入 corr=0.71,盈-5.6%)"
2022-09-26,2022-11-15,香港证券ETF易方达,sh513090,0.982,1.045,6.4%,"10,578",50,ETF Alpha(缩量新高 corr=-0.45 | 波动放大1.2x | 距20日高-9.7% | 5日-3.3%),"量价同步(散户涌入 corr=0.73,盈6.4%)"
2022-09-28,2022-11-17,中证500ETF南方,sh510500,5.776,6.225,7.8%,"15,131",50,ETF Alpha(缩量新高 corr=-0.26 | 波动放大1.2x | 距20日高-9.1% | 5日-3.4%),"量价同步(散户涌入 corr=0.54,盈7.8%)"
2022-10-13,2022-12-01,沪深300ETF易方达,sh510310,1.782,1.85,3.8%,"7,228",49,ETF Alpha(缩量新高 corr=-0.29 | 波动放大1.2x | 距20日高-9.0% | 5日-2.1%),"量价同步(散户涌入 corr=0.56,盈3.8%)"
2022-10-31,2022-11-16,沪深300ETF华夏,sh510330,3.564,3.893,9.2%,"17,569",16,ETF Alpha(缩量新高 corr=-0.52 | 波动放大1.3x | 距20日高-9.9% | 5日-3.7%),"量价同步(散户涌入 corr=0.57,盈9.2%)"
2022-11-14,2022-12-01,酒ETF鹏华,sh512690,0.739,0.778,5.3%,"10,940",17,ETF Alpha(缩量新高 corr=-0.32 | 波动放大1.5x | 距20日高-5.3% | 5日-0.1%),"量价同步(散户涌入 corr=0.66,盈5.3%)"
2022-11-16,2023-01-12,黄金ETF博时,sz159937,3.955,4.019,1.6%,"3,098",57,ETF Alpha(缩量新高 corr=-0.42 | 波动放大1.4x | 距20日高-0.6% | 5日0.8%),持仓40天到期(盈1.6%)
2022-12-14,2022-12-27,黄金ETF易方达,sz159934,3.926,3.921,-0.1%,-260,13,ETF Alpha(缩量新高 corr=-0.66 | 波动放大1.2x | 距20日高-0.4% | 5日1.7%),"量价同步(散户涌入 corr=0.58,盈-0.1%)"
2022-12-21,2023-01-30,金ETF广发,sh518600,3.986,4.099,2.8%,"5,786",40,ETF Alpha(缩量新高 corr=-0.26 | 波动放大1.3x | 距20日高-0.3% | 5日0.2%),"量价同步(散户涌入 corr=0.58,盈2.8%)"
2023-02-03,2023-03-31,创新药ETF广发,sh515120,0.76,0.683,-10.1%,"-20,598",56,ETF Alpha(缩量新高 corr=-0.26 | 波动放大1.3x | 距20日高-4.0% | 5日-2.3%),持仓40天到期(盈-10.1%)
2023-02-07,2023-03-10,黄金ETF博时,sz159937,4.008,4.056,1.2%,"2,434",31,ETF Alpha(缩量新高 corr=-0.38 | 波动放大1.4x | 距20日高-3.0% | 5日-1.5%),"量价同步(散户涌入 corr=0.51,盈1.2%)"
2023-02-10,2023-03-16,黄金ETF易方达,sz159934,3.952,4.133,4.6%,"9,303",34,ETF Alpha(缩量新高 corr=-0.27 | 波动放大1.3x | 距20日高-3.4% | 5日-2.0%),"量价同步(散户涌入 corr=0.50,盈4.6%)"
2023-02-17,2023-04-17,创业板ETF易方达,sz159915,2.378,2.364,-0.6%,"-1,197",59,ETF Alpha(缩量新高 corr=-0.76 | 波动放大1.3x | 距20日高-7.8% | 5日-3.5%),持仓40天到期(盈-0.6%)
2023-02-17,2023-04-17,中证500ETF嘉实,sz159922,6.373,6.597,3.5%,"7,146",59,ETF Alpha(缩量新高 corr=-0.25 | 波动放大1.2x | 距20日高-2.9% | 5日-1.5%),持仓40天到期(盈3.5%)
2023-03-13,2023-03-21,红利低波ETF华泰柏瑞,sh512890,0.883,0.892,1.0%,"2,100",8,ETF Alpha(缩量新高 corr=-0.60 | 波动放大1.2x | 距20日高-2.5% | 5日-1.3%),"量价同步(散户涌入 corr=0.55,盈1.0%)"
2023-03-22,2023-05-23,中证500ETF华夏,sh512500,3.334,3.233,-3.0%,"-6,363",62,ETF Alpha(缩量新高 corr=-0.35 | 波动放大1.2x | 距20日高-2.4% | 5日0.5%),持仓40天到期(盈-3.0%)
2023-03-27,2023-05-26,豆粕ETF华夏,sz159985,1.779,1.747,-1.8%,"-3,786",60,ETF Alpha(缩量新高 corr=-0.88 | 波动放大1.4x | 距20日高-8.9% | 5日-3.2%),持仓40天到期(盈-1.8%)
2023-04-10,2023-05-26,黄金ETF华安,sh518880,4.287,4.31,0.5%,980,46,ETF Alpha(缩量新高 corr=-0.30 | 波动放大1.3x | 距20日高-1.2% | 5日0.1%),"量价同步(散户涌入 corr=0.52,盈0.5%)"
2023-04-20,2023-05-29,医药ETF易方达,sh512010,0.471,0.452,-4.0%,"-8,324",39,ETF Alpha(缩量新高 corr=-0.28 | 波动放大1.2x | 距20日高-5.4% | 5日-3.7%),"量价同步(散户涌入 corr=0.56,盈-4.0%)"
2023-04-20,2023-05-30,游戏ETF华夏,sz159869,1.405,1.47,4.6%,"9,542",40,ETF Alpha(缩量新高 corr=-0.37 | 波动放大1.7x | 距20日高-2.6% | 5日1.2%),"量价同步(散户涌入 corr=0.52,盈4.6%)"
2023-05-24,2023-07-21,上证50ETF华夏,sh510050,2.577,2.586,0.3%,711,58,ETF Alpha(缩量新高 corr=-0.67 | 波动放大1.3x | 距20日高-6.4% | 5日-2.7%),持仓40天到期(盈0.3%)
2023-06-19,2023-06-28,电力ETF广发,sz159611,0.919,0.951,3.5%,"6,998",9,ETF Alpha(缩量新高 corr=-0.63 | 波动放大1.2x | 距20日高-5.9% | 5日-1.0%),"量价同步(散户涌入 corr=0.69,盈3.5%)"
2023-06-26,2023-08-04,中证500ETF南方,sh510500,5.972,6.241,4.5%,"9,038",39,ETF Alpha(缩量新高 corr=-0.55 | 波动放大1.2x | 距20日高-4.2% | 5日-3.1%),"量价同步(散户涌入 corr=0.75,盈4.5%)"
2023-06-26,2023-07-31,中证500ETF华夏,sh512500,3.17,3.288,3.7%,"7,481",35,ETF Alpha(缩量新高 corr=-0.35 | 波动放大1.3x | 距20日高-4.4% | 5日-3.4%),"量价同步(散户涌入 corr=0.52,盈3.7%)"
2023-06-26,2023-08-21,中证1000ETF易方达,sz159633,1.939,2.425,25.1%,"50,398",56,ETF Alpha(缩量新高 corr=-0.59 | 波动放大1.2x | 距20日高-4.0% | 5日-2.4%),持仓40天到期(盈25.1%)
2023-06-28,2023-08-23,中证1000ETF南方,sh512100,2.607,2.405,-7.8%,"-16,160",56,ETF Alpha(缩量新高 corr=-0.29 | 波动放大1.2x | 距20日高-3.3% | 5日-2.8%),持仓40天到期(盈-7.7%)
2023-08-07,2023-08-18,医药ETF易方达,sh512010,0.418,0.416,-0.5%,-993,11,ETF Alpha(缩量新高 corr=-0.28 | 波动放大1.4x | 距20日高-7.3% | 5日-4.3%),"量价同步(散户涌入 corr=0.56,盈-0.5%)"
2023-08-07,2023-09-27,医疗ETF华宝,sh512170,0.413,0.419,1.4%,"3,014",51,ETF Alpha(缩量新高 corr=-0.31 | 波动放大1.3x | 距20日高-5.5% | 5日-4.0%),"量价同步(散户涌入 corr=0.54,盈1.5%)"
2023-08-08,2023-09-15,创新药ETF广发,sh515120,0.596,0.603,1.2%,"2,437",38,ETF Alpha(缩量新高 corr=-0.37 | 波动放大1.4x | 距20日高-7.5% | 5日-4.8%),"量价同步(散户涌入 corr=0.51,盈1.2%)"
2023-08-18,2023-08-29,科创50ETF工银,sh588050,0.934,0.95,1.7%,"3,536",11,ETF Alpha(缩量新高 corr=-0.46 | 波动放大1.3x | 距20日高-7.2% | 5日-3.6%),"量价同步(散户涌入 corr=0.51,盈1.7%)"
2023-08-23,2023-10-09,中证500ETF南方,sh510500,5.738,5.76,0.4%,849,47,ETF Alpha(缩量新高 corr=-0.60 | 波动放大1.4x | 距20日高-8.6% | 5日-3.5%),"量价同步(散户涌入 corr=0.71,盈0.4%)"
2023-08-23,2023-08-29,沪深300ETF嘉实,sz159919,3.832,3.932,2.6%,"5,790",6,ETF Alpha(缩量新高 corr=-0.35 | 波动放大1.3x | 距20日高-9.1% | 5日-3.3%),"量价同步(散户涌入 corr=0.64,盈2.6%)"
2023-09-20,2023-10-24,黄金ETF博时,sz159937,4.581,4.574,-0.1%,-330,34,ETF Alpha(缩量新高 corr=-0.27 | 波动放大1.6x | 距20日高-1.5% | 5日0.7%),"量价同步(散户涌入 corr=0.54,盈-0.2%)"
2023-09-28,2023-10-13,创新药ETF富国,sz159748,0.653,0.677,3.7%,"7,874",15,ETF Alpha(缩量新高 corr=-0.31 | 波动放大1.2x | 距20日高-1.1% | 5日4.1%),"量价同步(散户涌入 corr=0.51,盈3.7%)"
2023-09-28,2023-11-20,黄金ETF易方达,sz159934,4.392,4.473,1.8%,"3,945",53,ETF Alpha(缩量新高 corr=-0.39 | 波动放大2.0x | 距20日高-4.6% | 5日-3.0%),"量价同步(散户涌入 corr=0.55,盈1.8%)"
2023-10-09,2023-12-04,金ETF广发,sh518600,4.364,4.591,5.2%,"11,350",56,ETF Alpha(缩量新高 corr=-0.73 | 波动放大1.7x | 距20日高-5.8% | 5日-3.9%),持仓40天到期(盈5.2%)
2023-10-09,2023-10-27,黄金ETF华安,sh518880,4.405,4.599,4.4%,"9,622",18,ETF Alpha(缩量新高 corr=-0.30 | 波动放大1.9x | 距20日高-5.0% | 5日-3.4%),"量价同步(散户涌入 corr=0.52,盈4.4%)"
