股票,代码,买入日,卖出日,盈亏%,卖出价,卖出原因(简化),卖出类型,1月后涨跌%,1月后日期,2月后涨跌%,2月后日期,3月后涨跌%,3月后日期,4月后涨跌%,4月后日期,5月后涨跌%,5月后日期,6月后涨跌%,6月后日期,最佳后续涨跌%
钒钛股份,sz.000629,2022-09-15,2023-02-03,3.4%,5.22,持仓90天到期(盈3.4%),到期,4.8%,2023-03-03,-4.6%,2023-04-03,-19.2%,2023-05-04,-21.1%,2023-06-05,-23.2%,2023-07-03,-21.5%,2023-08-03,4.8%
中通客车,sz.000957,2022-09-15,2022-09-26,-12.1%,14.11,止损(-12.1%),止损,-2.7%,2022-10-26,-6.4%,2022-11-28,-10.1%,2022-12-26,-10.8%,2023-01-30,-13.2%,2023-02-27,-23.5%,2023-03-27,-2.7%
TCL中环,sz.002129,2022-09-15,2022-12-13,-13.9%,38.59,止损(-13.9%),止损,4.0%,2023-01-13,9.6%,2023-02-13,23.2%,2023-03-13,20.7%,2023-04-13,3.2%,2023-05-15,-4.5%,2023-06-13,23.2%
天赐材料,sz.002709,2022-09-15,2023-02-03,6.9%,48.13,持仓90天到期(盈6.9%),到期,-8.5%,2023-03-03,-11.8%,2023-04-03,-11.7%,2023-05-04,-13.8%,2023-06-05,-14.2%,2023-07-03,-24.1%,2023-08-03,-8.5%
亿纬锂能,sz.300014,2022-09-15,2023-02-03,4.3%,88.38,持仓90天到期(盈4.3%),到期,-18.8%,2023-03-03,-21.9%,2023-04-03,-26.3%,2023-05-04,-28.5%,2023-06-05,-31.6%,2023-07-03,-33.1%,2023-08-03,-18.8%
东方财富,sz.300059,2022-09-26,2022-10-25,-14.3%,15.54,止损(-14.3%),止损,15.3%,2022-11-25,22.5%,2022-12-26,47.4%,2023-01-30,32.8%,2023-02-27,32.7%,2023-03-27,3.5%,2023-04-25,47.4%
舍得酒业,sh.600702,2023-06-26,2023-10-18,-14.3%,110.03,止损(-14.3%),止损,-1.4%,2023-11-20,-20.6%,2023-12-18,-16.2%,2024-01-18,-31.7%,2024-02-19,-23.6%,2024-03-18,-35.5%,2024-04-18,-1.4%
三安光电,sh.600703,2023-06-26,2023-08-25,-12.1%,15.01,止损(-12.1%),止损,2.3%,2023-09-25,-1.7%,2023-10-25,-6.4%,2023-11-27,-10.9%,2023-12-25,-15.3%,2024-01-25,-19.0%,2024-02-26,2.3%
山西汾酒,sh.600809,2023-06-26,2023-11-07,27.0%,248.43,持仓90天到期(盈27.0%),到期,-9.5%,2023-12-07,-14.1%,2024-01-08,-8.9%,2024-02-07,-4.3%,2024-03-07,-0.7%,2024-04-08,8.7%,2024-05-07,8.7%
澜起科技,sh.688008,2023-06-26,2023-08-16,-12.9%,48.75,止损(-12.9%),止损,4.6%,2023-09-18,5.8%,2023-10-16,22.3%,2023-11-16,22.1%,2023-12-18,10.1%,2024-01-16,6.6%,2024-02-19,22.3%
爱尔眼科,sz.300015,2023-06-26,2023-10-20,-12.2%,16.54,止损(-12.2%),止损,6.5%,2023-11-20,-4.9%,2023-12-20,-16.6%,2024-01-22,-14.3%,2024-02-20,-16.7%,2024-03-20,-27.6%,2024-04-22,6.5%
立讯精密,sz.002475,2023-09-14,2024-01-29,-5.3%,27.16,持仓90天到期(盈-5.3%),到期,0.0%,2024-02-28,9.5%,2024-03-28,9.8%,2024-04-29,14.5%,2024-05-28,44.7%,2024-06-28,41.3%,2024-07-29,44.7%
天孚通信,sz.300394,2023-09-14,2024-01-03,17.2%,88.16,移动止盈(高104.20回-15.4%),移动止盈,17.3%,2024-02-05,60.7%,2024-03-04,74.2%,2024-04-03,74.1%,2024-05-06,3.3%,2024-06-03,1.4%,2024-07-03,74.2%
五粮液,sz.000858,2023-10-19,2024-01-17,-13.2%,125.14,止损(-13.2%),止损,8.8%,2024-02-19,22.7%,2024-03-18,16.1%,2024-04-17,25.0%,2024-05-17,8.5%,2024-06-17,4.5%,2024-07-17,25.0%
万华化学,sh.600309,2023-10-20,2023-12-13,-13.3%,73.66,止损(-13.3%),止损,-5.2%,2024-01-15,1.3%,2024-02-19,6.2%,2024-03-13,19.5%,2024-04-15,23.0%,2024-05-13,16.4%,2024-06-13,23.0%
赛力斯,sh.601127,2024-01-08,2024-01-30,-12.8%,58.80,止损(-12.7%),止损,42.1%,2024-02-28,54.3%,2024-03-28,62.2%,2024-04-29,45.8%,2024-05-28,55.0%,2024-06-28,32.6%,2024-07-29,62.2%
寒武纪,sh.688256,2024-01-08,2024-02-05,-15.6%,103.03,止损(-15.6%),止损,69.9%,2024-03-05,54.3%,2024-04-08,59.9%,2024-05-06,74.8%,2024-06-05,87.1%,2024-07-05,122.9%,2024-08-05,122.9%
东方财富,sz.300059,2024-01-08,2024-05-28,-4.1%,12.53,持仓90天到期(盈-4.1%),到期,-15.7%,2024-06-28,-17.0%,2024-07-29,-18.4%,2024-08-28,62.0%,2024-09-30,80.8%,2024-10-28,105.7%,2024-11-28,105.7%
长安汽车,sz.000625,2024-01-22,2024-02-05,-14.3%,11.79,止损(-14.3%),止损,27.5%,2024-03-05,52.1%,2024-04-08,25.3%,2024-05-06,14.8%,2024-06-05,16.1%,2024-07-05,12.5%,2024-08-05,52.1%
歌尔股份,sz.002241,2024-01-30,2024-06-20,13.8%,18.21,持仓90天到期(盈13.8%),到期,25.0%,2024-07-22,10.3%,2024-08-20,2.4%,2024-09-20,30.0%,2024-10-21,38.2%,2024-11-20,55.2%,2024-12-20,55.2%
软通动力,sz.301236,2024-01-30,2024-02-05,-12.6%,29.34,止损(-12.6%),止损,63.2%,2024-03-05,57.3%,2024-04-08,47.9%,2024-05-06,32.8%,2024-06-05,15.5%,2024-07-05,6.5%,2024-08-05,63.2%
赛力斯,sh.601127,2024-02-05,2024-03-29,55.1%,87.00,移动止盈(高104.76回-17.0%),移动止盈,9.7%,2024-04-29,-1.4%,2024-05-28,4.7%,2024-06-28,-10.4%,2024-07-29,-18.0%,2024-08-28,3.9%,2024-09-30,9.7%
通富微电,sz.002156,2024-02-05,2024-03-27,17.7%,21.80,移动止盈(高26.20回-16.8%),移动止盈,-2.7%,2024-04-29,-0.6%,2024-05-27,1.2%,2024-06-27,-0.5%,2024-07-29,-13.6%,2024-08-27,-4.1%,2024-09-27,1.2%
立讯精密,sz.002475,2024-02-05,2024-06-26,41.6%,38.20,持仓90天到期(盈41.6%),到期,-0.7%,2024-07-26,-2.2%,2024-08-26,0.6%,2024-09-26,14.2%,2024-10-28,-2.7%,2024-11-26,10.8%,2024-12-26,14.2%
剑桥科技,sh.603083,2024-04-16,2024-07-23,-12.2%,29.40,止损(-12.2%),止损,-10.0%,2024-08-23,-1.9%,2024-09-23,21.2%,2024-10-23,46.4%,2024-11-25,47.6%,2024-12-23,40.1%,2025-01-23,47.6%
万兴科技,sz.300624,2024-04-16,2024-06-05,-30.5%,54.57,止损(-30.5%),止损,-7.0%,2024-07-05,-16.8%,2024-08-05,-26.8%,2024-09-05,26.3%,2024-10-08,10.2%,2024-11-05,33.1%,2024-12-05,33.1%
浪潮信息,sz.000977,2024-06-06,2024-08-22,-14.3%,31.46,止损(-14.3%),止损,2.4%,2024-09-23,37.6%,2024-10-22,51.7%,2024-11-22,61.6%,2024-12-23,68.3%,2025-01-22,113.4%,2025-02-24,113.4%
光迅科技,sz.002281,2024-06-06,2024-08-22,-12.5%,28.77,止损(-12.5%),止损,-6.6%,2024-09-23,31.9%,2024-10-22,47.3%,2024-11-22,96.8%,2024-12-23,89.4%,2025-01-22,99.9%,2025-02-24,99.9%
药明康德,sh.603259,2024-07-04,2024-10-16,30.2%,48.96,移动止盈(高57.60回-15.0%),移动止盈,5.4%,2024-11-18,14.8%,2024-12-16,9.3%,2025-01-16,27.3%,2025-02-17,30.8%,2025-03-17,6.9%,2025-04-16,30.8%
万丰奥威,sz.002085,2024-07-04,2024-11-15,54.8%,19.41,移动止盈(高24.07回-19.4%),移动止盈,-1.1%,2024-12-16,-10.9%,2025-01-15,0.0%,2025-02-17,-0.5%,2025-03-17,-21.2%,2025-04-15,-14.3%,2025-05-15,0.0%
赛力斯,sh.601127,2024-07-24,2024-11-25,63.9%,121.35,移动止盈(高144.43回-16.0%),移动止盈,6.5%,2024-12-25,9.4%,2025-01-27,5.5%,2025-02-25,0.9%,2025-03-25,6.3%,2025-04-25,15.1%,2025-05-26,15.1%
山东黄金,sh.600547,2024-11-15,2025-04-01,6.9%,26.56,持仓90天到期(盈6.9%),到期,16.4%,2025-05-06,15.1%,2025-06-03,25.4%,2025-07-01,11.0%,2025-08-01,35.3%,2025-09-01,62.9%,2025-10-09,62.9%
福瑞医科,sz.300049,2024-11-15,2024-12-30,-13.2%,32.49,止损(-13.2%),止损,-0.7%,2025-02-05,3.8%,2025-02-28,1.5%,2025-03-28,-7.9%,2025-04-28,5.0%,2025-05-28,-0.2%,2025-06-30,5.0%
今天国际,sz.300532,2024-11-15,2025-04-01,9.8%,12.41,持仓90天到期(盈9.8%),到期,-8.2%,2025-05-06,-2.5%,2025-06-03,-1.1%,2025-07-01,0.1%,2025-08-01,8.2%,2025-09-01,10.2%,2025-10-09,10.2%
