轮次,名称,状态,收益%,回撤%,胜率%,PF,交易笔数,平均盈亏%,JSON,Excel,参数变更
0,基线,baseline,94.49,31.08,45.3,2.31,53,8.52,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_07.json,,"{'MARKET_FEAR_BREADTH': '0.25', 'MARKET_EXTREME_FEAR': '0.12', 'MAX_BELOW_MA_PCT': '-0.08', 'MAX_DECLINE_5D': '-0.08', 'MIN_DECLINE_5D': '-0.01', 'ATR_STOP_MULT': '2.5', 'ATR_STOP_MULT_EXTREME': '3.0', 'ATR_STOP_MIN': '8', 'ATR_STOP_MAX': '22', 'ATR_STOP_MAX_EXTREME': '35', 'TRAILING_STOP_PCT': '22', 'TRAILING_ACTIVE_PCT': '10', 'TIME_DECAY_GRACE_DAYS': '40', 'TIME_DECAY_MULT': '1.5', 'TIME_DECAY_TRANSITION': '20'}"
1,ATR上限40,worse,94.49,31.08,45.3,2.31,53,8.52,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_08.json,,{'ATR_STOP_MAX_EXTREME': '40'}
2,ATR上限38,worse,94.49,31.08,45.3,2.31,53,8.52,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_09.json,,{'ATR_STOP_MAX_EXTREME': '38'}
3,宽容期50天,worse,89.52,31.67,45.1,2.22,51,8.35,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_10.json,,{'TIME_DECAY_GRACE_DAYS': '50'}
4,宽容期60天,worse,81.63,28.96,44.0,2.07,50,8.28,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_11.json,,{'TIME_DECAY_GRACE_DAYS': '60'}
5,止盈回落25,worse,58.64,31.08,43.1,1.84,51,6.90,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_12.json,,{'TRAILING_STOP_PCT': '25'}
6,止盈回落28,worse,44.68,31.08,40.4,1.63,52,5.96,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_13.json,,{'TRAILING_STOP_PCT': '28'}
7,恐慌倍率3.5,BEST,103.97,32.48,45.1,2.35,51,9.49,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_14.json,,{'ATR_STOP_MULT_EXTREME': '3.5'}
8,恐慌倍率3.3,worse,87.44,31.56,41.5,2.14,53,8.16,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_15.json,,{'ATR_STOP_MULT_EXTREME': '3.3'}
9,衰减倍率1.8,BEST,118.99,28.83,46.9,2.60,49,10.13,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_16.json,,{'TIME_DECAY_MULT': '1.8'}
10,过渡期30天,worse,101.01,25.55,45.8,2.22,48,9.71,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_17.json,,{'TIME_DECAY_TRANSITION': '30'}
11,过渡期40天,worse,117.16,24.97,49.0,2.31,49,11.05,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_18.json,,{'TIME_DECAY_TRANSITION': '40'}
12,超跌-10%,worse,52.94,36.92,36.0,1.66,50,7.71,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_19.json,,{'MAX_BELOW_MA_PCT': '-0.10'}
13,5日放宽-10%,worse,28.13,31.35,37.5,1.41,48,3.40,G:\code\b_quant\data\strategy\market_bottom\2026-06\2026-06-26_20.json,,{'MAX_DECLINE_5D': '-0.10'}
