趋势跟随策略 交易流水 — 共 388 笔
============================================================================================================================================
买入日        卖出日        代码           名称           买价     卖价     盈亏%   持有天  买入理由  卖出理由
--------------------------------------------------------------------------------------------------------------------------------------------
2022-07-07 2022-07-27 sh.600435    北方导航       9.26   9.40    1.51      趋势跟随(5日5.9% 20日3.6% | 量比1.5x 涨跌量比1.5x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-07 2022-07-27 sh.601991    大唐发电       2.82   2.70   -4.26      趋势跟随(5日10.6% 20日9.3% | 量比1.7x 涨跌量比2.9x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-07 2022-07-27 sh.603129    春风动力     125.88 139.72   10.99      趋势跟随(5日8.6% 20日-5.2% | 量比1.3x 涨跌量比1.4x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-07 2022-07-27 sh.688012    中微公司     125.59 121.72   -3.08      趋势跟随(5日8.8% 20日-0.2% | 量比1.4x 涨跌量比1.4x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-07 2022-07-27 sz.000709    河钢股份       2.59   2.84    9.65      趋势跟随(5日15.9% 20日11.0% | 量比2.3x 涨跌量比5.1x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-27 2022-08-16 sh.600750    华润江中      14.97  15.65    4.54      趋势跟随(5日12.7% 20日7.5% | 量比1.4x 涨跌量比1.6x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-27 2022-08-15 sh.600988    赤峰黄金      17.30  21.90   26.59      趋势跟随(5日8.1% 20日4.0% | 量比1.3x 涨跌量比1.6x | 连涨7天 | 市态NEUTRAL)  止盈(26.6%)
2022-07-27 2022-08-02 sz.002370    亚太药业       6.27   5.26  -16.11      趋势跟随(5日10.5% 20日3.1% | 量比1.4x 涨跌量比2.7x | 连涨2天 | 市态NEUTRAL)  止损(-16.1%)
2022-07-27 2022-08-16 sz.003040    楚天龙       22.36  22.24   -0.54      趋势跟随(5日9.6% 20日5.5% | 量比1.5x 涨跌量比1.7x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-07-27 2022-08-16 sz.300079    数码视讯       5.93   5.62   -5.23      趋势跟随(5日13.1% 20日9.7% | 量比1.5x 涨跌量比1.6x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-08-02 2022-08-22 sh.600009    上海机场      55.41  56.10    1.25      趋势跟随(5日6.3% 20日2.0% | 量比1.4x 涨跌量比1.5x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
