日期,证券名称,证券代码,买卖方向,成交价,成交数量,成交金额,交易费用,当时原因,复盘判断,错误类型,下次规则,备注
2026-06-05,赣粤股份,600269,卖出,17.891,2000,35757.74,23.26,,,,,来自截图，肉眼识别
2026-06-05,横店影视,603103,卖出,23.040,3600,82892.12,51.88,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,买入,17.480,2000,-34965.35,5.35,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,买入,18.460,2000,-36925.37,5.37,,,,,来自截图，肉眼识别
2026-06-05,明阳智能,601615,买入,14.200,2500,-35505.35,5.35,,,,,来自截图，肉眼识别
2026-06-05,新农开发,600359,卖出,6.510,7500,48794.47,30.53,,,,,来自截图，肉眼识别
2026-06-05,明阳智能,601615,买入,14.490,1500,-21740.22,5.22,,,,,来自截图，肉眼识别
2026-06-05,中国国航,601111,买入,6.520,5000,-32605.33,5.33,,,,,来自截图，肉眼识别
2026-06-05,中国国航,601111,买入,6.500,6600,-42905.43,5.43,,,,,来自截图，肉眼识别
2026-06-05,明阳智能,601615,买入,14.766,2900,-42825.45,5.43,,,,,来自截图，肉眼识别
2026-06-05,横店影视,603103,买入,21.280,1000,-21285.21,5.21,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,卖出,19.280,5000,96339.72,60.28,,,,,来自截图，肉眼识别
2026-06-05,品渥食品,300892,卖出,23.380,4500,105144.20,65.80,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,买入,19.500,3000,-58507.33,7.33,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,卖出,20.530,3000,61551.47,38.53,,,,,来自截图，肉眼识别
2026-06-05,好想你,002582,卖出,10.070,5000,50318.51,31.49,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,买入,20.149,3000,-60454.58,7.58,,,,,来自截图，肉眼识别
2026-06-05,横店影视,603103,买入,21.380,2000,-42765.43,5.43,,,,,来自截图，肉眼识别
2026-06-05,横店影视,603103,买入,21.800,1000,-21805.22,5.22,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,卖出,21.060,3000,63140.49,39.51,,,,,来自截图，肉眼识别
2026-06-05,跨境股份,300947,卖出,20.370,3000,61071.78,38.22,,,,,来自截图，肉眼识别
2026-06-05,好想你,002582,买入,10.330,5000,-51656.48,6.48,,,,,来自截图，肉眼识别
2026-06-05,新农开发,600359,买入,6.710,7500,-50331.32,6.32,,,,,来自截图，肉眼识别
2026-06-05,横店影视,603103,买入,22.850,100,-2290.02,5.02,,,,,来自截图，肉眼识别
2026-06-05,横店影视,603103,买入,23.080,1000,-23085.23,5.23,,,,,来自截图，肉眼识别
2026-06-05,融创中国,01918,卖出,90.960,600,49692.56,62.90,,,,,港股，来自截图，肉眼识别
